rank,hashtag,hashtag_id,posts,video_views,rank_diff,rank_diff_type,is_promoted,trend_7d
77,iamshaunarae,7044231142567837742,478,38305946,0,4,False,"[{""time"": 1773878400, ""value"": 0.26}, {""time"": 1773964800, ""value"": 0.24}, {""time"": 1774051200, ""value"": 0.28}, {""time"": 1774137600, ""value"": 0.33}, {""time"": 1774224000, ""value"": 0.27}, {""time"": 1774310400, ""value"": 0.38}, {""time"": 1774396800, ""value"": 1}]"
78,weightlossglowup,1649393042259974,2111,9126903,0,4,False,"[{""time"": 1773878400, ""value"": 0.58}, {""time"": 1773964800, ""value"": 0.61}, {""time"": 1774051200, ""value"": 0.53}, {""time"": 1774137600, ""value"": 0.52}, {""time"": 1774224000, ""value"": 0.48}, {""time"": 1774310400, ""value"": 0.46}, {""time"": 1774396800, ""value"": 1}]"
79,miamiopen,9161865,3203,33382305,0,4,False,"[{""time"": 1773878400, ""value"": 0.41}, {""time"": 1773964800, ""value"": 0.52}, {""time"": 1774051200, ""value"": 0.62}, {""time"": 1774137600, ""value"": 0.86}, {""time"": 1774224000, ""value"": 0.94}, {""time"": 1774310400, ""value"": 0.96}, {""time"": 1774396800, ""value"": 1}]"
80,parylumajang,7603013562868432927,3913,50835101,0,4,False,"[{""time"": 1773878400, ""value"": 0.62}, {""time"": 1773964800, ""value"": 0.64}, {""time"": 1774051200, ""value"": 0.81}, {""time"": 1774137600, ""value"": 0.94}, {""time"": 1774224000, ""value"": 0.96}, {""time"": 1774310400, ""value"": 0.73}, {""time"": 1774396800, ""value"": 1}]"
81,reacher,4601206,788,28621060,0,4,False,"[{""time"": 1773878400, ""value"": 0.61}, {""time"": 1773964800, ""value"": 0.49}, {""time"": 1774051200, ""value"": 0.41}, {""time"": 1774137600, ""value"": 0.48}, {""time"": 1774224000, ""value"": 0.51}, {""time"": 1774310400, ""value"": 0.54}, {""time"": 1774396800, ""value"": 1}]"
82,wisata,9128442,10066,65487811,0,4,False,"[{""time"": 1773878400, ""value"": 0.46}, {""time"": 1773964800, ""value"": 0.45}, {""time"": 1774051200, ""value"": 0.46}, {""time"": 1774137600, ""value"": 0.48}, {""time"": 1774224000, ""value"": 0.46}, {""time"": 1774310400, ""value"": 0.78}, {""time"": 1774396800, ""value"": 1}]"
83,xm8ff,1668288996937729,12507,12361581,0,4,False,"[{""time"": 1773878400, ""value"": 0}, {""time"": 1773964800, ""value"": 0}, {""time"": 1774051200, ""value"": 0.01}, {""time"": 1774137600, ""value"": 0.67}, {""time"": 1774224000, ""value"": 0.95}, {""time"": 1774310400, ""value"": 1}, {""time"": 1774396800, ""value"": 0.87}]"
84,sumbar,11640683,8906,62537151,0,4,False,"[{""time"": 1773878400, ""value"": 0.49}, {""time"": 1773964800, ""value"": 0.5}, {""time"": 1774051200, ""value"": 0.48}, {""time"": 1774137600, ""value"": 0.49}, {""time"": 1774224000, ""value"": 0.47}, {""time"": 1774310400, ""value"": 0.72}, {""time"": 1774396800, ""value"": 1}]"
85,arusbalik,72110316,2769,9133608,0,4,False,"[{""time"": 1773878400, ""value"": 0.09}, {""time"": 1773964800, ""value"": 0.12}, {""time"": 1774051200, ""value"": 0.13}, {""time"": 1774137600, ""value"": 0.18}, {""time"": 1774224000, ""value"": 0.22}, {""time"": 1774310400, ""value"": 0.51}, {""time"": 1774396800, ""value"": 1}]"
86,liburanseru,29839162,10806,33475387,0,4,False,"[{""time"": 1773878400, ""value"": 0.41}, {""time"": 1773964800, ""value"": 0.44}, {""time"": 1774051200, ""value"": 0.43}, {""time"": 1774137600, ""value"": 0.44}, {""time"": 1774224000, ""value"": 0.43}, {""time"": 1774310400, ""value"": 0.74}, {""time"": 1774396800, ""value"": 1}]"
87,быков,1593844628362246,3164,115624675,0,4,False,"[{""time"": 1773878400, ""value"": 0.23}, {""time"": 1773964800, ""value"": 0.48}, {""time"": 1774051200, ""value"": 0.81}, {""time"": 1774137600, ""value"": 1}, {""time"": 1774224000, ""value"": 0.99}, {""time"": 1774310400, ""value"": 0.87}, {""time"": 1774396800, ""value"": 0.55}]"
88,acuña,11271041,3009,61668727,0,4,False,"[{""time"": 1773878400, ""value"": 0.76}, {""time"": 1773964800, ""value"": 1}, {""time"": 1774051200, ""value"": 0.65}, {""time"": 1774137600, ""value"": 0.56}, {""time"": 1774224000, ""value"": 0.54}, {""time"": 1774310400, ""value"": 0.48}, {""time"": 1774396800, ""value"": 0.74}]"
89,openingday,471858,1630,14557113,0,4,False,"[{""time"": 1773878400, ""value"": 0.44}, {""time"": 1773964800, ""value"": 0.47}, {""time"": 1774051200, ""value"": 0.61}, {""time"": 1774137600, ""value"": 0.9}, {""time"": 1774224000, ""value"": 0.84}, {""time"": 1774310400, ""value"": 0.86}, {""time"": 1774396800, ""value"": 1}]"
90,garniermx,1664361366631429,18902,163991058,0,4,False,"[{""time"": 1773878400, ""value"": 0.95}, {""time"": 1773964800, ""value"": 0.97}, {""time"": 1774051200, ""value"": 0.96}, {""time"": 1774137600, ""value"": 0.9}, {""time"": 1774224000, ""value"": 0.9}, {""time"": 1774310400, ""value"": 0.88}, {""time"": 1774396800, ""value"": 1}]"
91,น้ํามันแพง,1655696626480130,16611,169165045,0,4,False,"[{""time"": 1773878400, ""value"": 0.93}, {""time"": 1773964800, ""value"": 1}, {""time"": 1774051200, ""value"": 0.99}, {""time"": 1774137600, ""value"": 0.89}, {""time"": 1774224000, ""value"": 0.89}, {""time"": 1774310400, ""value"": 0.85}, {""time"": 1774396800, ""value"": 0.96}]"
92,pangandaran,4461452,8008,48205631,0,4,False,"[{""time"": 1773878400, ""value"": 0.38}, {""time"": 1773964800, ""value"": 0.4}, {""time"": 1774051200, ""value"": 0.42}, {""time"": 1774137600, ""value"": 0.41}, {""time"": 1774224000, ""value"": 0.39}, {""time"": 1774310400, ""value"": 0.72}, {""time"": 1774396800, ""value"": 1}]"
93,tatsukifujimoto,1682282263692294,313,7722992,0,4,False,"[{""time"": 1773878400, ""value"": 0.9}, {""time"": 1773964800, ""value"": 0.84}, {""time"": 1774051200, ""value"": 0.96}, {""time"": 1774137600, ""value"": 0.86}, {""time"": 1774224000, ""value"": 0.86}, {""time"": 1774310400, ""value"": 0.93}, {""time"": 1774396800, ""value"": 1}]"
94,dieng,629744,6104,44125760,0,4,False,"[{""time"": 1773878400, ""value"": 0.43}, {""time"": 1773964800, ""value"": 0.43}, {""time"": 1774051200, ""value"": 0.47}, {""time"": 1774137600, ""value"": 0.47}, {""time"": 1774224000, ""value"": 0.43}, {""time"": 1774310400, ""value"": 0.66}, {""time"": 1774396800, ""value"": 1}]"
95,heartbreakhigh,1670178596505606,1060,35742019,0,4,False,"[{""time"": 1773878400, ""value"": 0.6}, {""time"": 1773964800, ""value"": 0.68}, {""time"": 1774051200, ""value"": 0.72}, {""time"": 1774137600, ""value"": 0.77}, {""time"": 1774224000, ""value"": 0.84}, {""time"": 1774310400, ""value"": 1}, {""time"": 1774396800, ""value"": 0.9}]"
96,hannahmontana20thanniversaryspecial,7607902871870242829,73,248835,0,4,False,"[{""time"": 1773878400, ""value"": 0.44}, {""time"": 1773964800, ""value"": 0.22}, {""time"": 1774051200, ""value"": 0.22}, {""time"": 1774137600, ""value"": 0.3}, {""time"": 1774224000, ""value"": 0.37}, {""time"": 1774310400, ""value"": 0.71}, {""time"": 1774396800, ""value"": 1}]"
97,купитман,1612495481368581,2938,106700482,0,4,False,"[{""time"": 1773878400, ""value"": 0.13}, {""time"": 1773964800, ""value"": 0.43}, {""time"": 1774051200, ""value"": 0.79}, {""time"": 1774137600, ""value"": 1}, {""time"": 1774224000, ""value"": 1}, {""time"": 1774310400, ""value"": 0.86}, {""time"": 1774396800, ""value"": 0.52}]"
98,امطاراليوم,1647747767185414,9904,40649771,0,4,False,"[{""time"": 1773878400, ""value"": 0.24}, {""time"": 1773964800, ""value"": 0.38}, {""time"": 1774051200, ""value"": 0.97}, {""time"": 1774137600, ""value"": 0.4}, {""time"": 1774224000, ""value"": 0.67}, {""time"": 1774310400, ""value"": 0.95}, {""time"": 1774396800, ""value"": 1}]"
99,beyondwonderland,236216,1901,9481463,0,4,False,"[{""time"": 1773878400, ""value"": 0.73}, {""time"": 1773964800, ""value"": 0.75}, {""time"": 1774051200, ""value"": 0.74}, {""time"": 1774137600, ""value"": 0.89}, {""time"": 1774224000, ""value"": 0.81}, {""time"": 1774310400, ""value"": 0.8}, {""time"": 1774396800, ""value"": 1}]"
100,tommielee,69972400,568,10283972,0,4,False,"[{""time"": 1773878400, ""value"": 0.37}, {""time"": 1773964800, ""value"": 0.32}, {""time"": 1774051200, ""value"": 0.33}, {""time"": 1774137600, ""value"": 0.25}, {""time"": 1774224000, ""value"": 0.23}, {""time"": 1774310400, ""value"": 0.26}, {""time"": 1774396800, ""value"": 1}]"
