rank,hashtag,hashtag_id,posts,video_views,rank_diff,rank_diff_type,is_promoted,trend_7d
18,alofoke,8712787,4963,143541618,51,1,False,"[{""time"": 1773878400, ""value"": 0.43}, {""time"": 1773964800, ""value"": 0.48}, {""time"": 1774051200, ""value"": 0.67}, {""time"": 1774137600, ""value"": 0.59}, {""time"": 1774224000, ""value"": 0.65}, {""time"": 1774310400, ""value"": 0.96}, {""time"": 1774396800, ""value"": 1}]"
19,bubble,29505,9562,188807312,0,4,False,"[{""time"": 1773878400, ""value"": 0.52}, {""time"": 1773964800, ""value"": 0.6}, {""time"": 1774051200, ""value"": 0.69}, {""time"": 1774137600, ""value"": 0.79}, {""time"": 1774224000, ""value"": 1}, {""time"": 1774310400, ""value"": 0.99}, {""time"": 1774396800, ""value"": 0.99}]"
20,مطر,6181333,51187,203717934,0,4,False,"[{""time"": 1773878400, ""value"": 0.3}, {""time"": 1773964800, ""value"": 0.31}, {""time"": 1774051200, ""value"": 1}, {""time"": 1774137600, ""value"": 0.45}, {""time"": 1774224000, ""value"": 0.6}, {""time"": 1774310400, ""value"": 0.81}, {""time"": 1774396800, ""value"": 0.91}]"
21,hannahmontana20,7526008891629862926,835,24202190,0,4,False,"[{""time"": 1773878400, ""value"": 0.31}, {""time"": 1773964800, ""value"": 0.37}, {""time"": 1774051200, ""value"": 0.44}, {""time"": 1774137600, ""value"": 0.45}, {""time"": 1774224000, ""value"": 0.59}, {""time"": 1774310400, ""value"": 0.69}, {""time"": 1774396800, ""value"": 1}]"
22,pantai,5376,39297,132415254,15,1,False,"[{""time"": 1773878400, ""value"": 0.33}, {""time"": 1773964800, ""value"": 0.32}, {""time"": 1774051200, ""value"": 0.33}, {""time"": 1774137600, ""value"": 0.35}, {""time"": 1774224000, ""value"": 0.38}, {""time"": 1774310400, ""value"": 0.73}, {""time"": 1774396800, ""value"": 1}]"
23,backflip,14526,4170,43461645,0,4,False,"[{""time"": 1773878400, ""value"": 0.38}, {""time"": 1773964800, ""value"": 0.39}, {""time"": 1774051200, ""value"": 0.39}, {""time"": 1774137600, ""value"": 0.41}, {""time"": 1774224000, ""value"": 0.47}, {""time"": 1774310400, ""value"": 0.55}, {""time"": 1774396800, ""value"": 1}]"
24,hannahmontana20thanniversary,7531409884575694879,732,12268298,0,4,False,"[{""time"": 1773878400, ""value"": 0.31}, {""time"": 1773964800, ""value"": 0.41}, {""time"": 1774051200, ""value"": 0.37}, {""time"": 1774137600, ""value"": 0.37}, {""time"": 1774224000, ""value"": 0.34}, {""time"": 1774310400, ""value"": 0.57}, {""time"": 1774396800, ""value"": 1}]"
25,houseofchallenge,1665201353748497,6926,63502843,20,1,False,"[{""time"": 1773878400, ""value"": 0.09}, {""time"": 1773964800, ""value"": 0.15}, {""time"": 1774051200, ""value"": 0.25}, {""time"": 1774137600, ""value"": 0.42}, {""time"": 1774224000, ""value"": 0.6}, {""time"": 1774310400, ""value"": 0.75}, {""time"": 1774396800, ""value"": 1}]"
26,20thanniversary,641809,826,4539635,0,4,False,"[{""time"": 1773878400, ""value"": 0.33}, {""time"": 1773964800, ""value"": 0.32}, {""time"": 1774051200, ""value"": 0.34}, {""time"": 1774137600, ""value"": 0.36}, {""time"": 1774224000, ""value"": 0.44}, {""time"": 1774310400, ""value"": 0.55}, {""time"": 1774396800, ""value"": 1}]"
27,hannahmontanathemovie,3103076,1110,16472097,0,4,False,"[{""time"": 1773878400, ""value"": 0.5}, {""time"": 1773964800, ""value"": 0.52}, {""time"": 1774051200, ""value"": 0.58}, {""time"": 1774137600, ""value"": 0.57}, {""time"": 1774224000, ""value"": 0.62}, {""time"": 1774310400, ""value"": 0.62}, {""time"": 1774396800, ""value"": 1}]"
